"Path","Method","Name","File","Line"
"/attendance/bulk-mark-as-present","POST","attendance.bulk-mark-as-present","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","751"
"/attendance/calendar","GET","attendance.calendar","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","728"
"/attendance/calendar-data","GET","attendance.calendar-data","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","577"
"/attendance/daily","GET","attendance.daily","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","727"
"/attendance/export/excel","GET","attendance.exportExcel","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","593"
"/attendance/export/pdf","GET","attendance.exportPdf","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","596"
"/attendance/locations-today","GET","getUserLocationsForDate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","737"
"/attendance/logs","GET","attendance.logs","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","729"
"/attendance/mark-as-present","POST","attendance.mark-as-present","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","750"
"/attendance/monthly-stats","GET","attendance.monthlyStats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","740"
"/attendance/my-monthly-stats","GET","attendance.myMonthlyStats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","756"
"/attendance/punch","POST","attendance.punch","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","589"
"/attendance/rules","GET","attendance.rules","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","731"
"/attendance-employee","GET","attendance-employee","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","574"
"/attendances","GET","attendances","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","726"
"/attendances-admin-paginate","GET","attendancesAdmin.paginate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","736"
"/attrition","GET","attrition","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","901"
"/bank-details","GET","bank-details.show","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","518"
"/bank-details/verify","POST","","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","519"
"/benefits","POST","benefits.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","348"
"/benefits/{id}","DELETE","benefits.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","352"
"/benefits/{id}/edit","GET","benefits.edit","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","350"
"/benefits/create","GET","benefits.create","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","347"
"/benefits/enrollments","POST","benefits.enrollments.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","345"
"/benefits/enrollments/{id}/approve","POST","benefits.enrollments.approve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","346"
"/benefits/stats","GET","benefits.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","343"
"/bulk-approve","POST","bulk-approve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","959"
"/burnout","GET","burnout","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","904"
"/calculate-preview","POST","calculate-preview","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","555"
"/cases","POST","cases.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","861"
"/cases/{id}","DELETE","cases.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","863"
"/cases/{id}/appeal","POST","cases.appeal","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","868"
"/cases/{id}/close","POST","cases.close","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","867"
"/cases/{id}/start-investigation","POST","cases.start-investigation","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","865"
"/cases/{id}/take-action","POST","cases.take-action","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","866"
"/cases/paginate","GET","cases.paginate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","858"
"/cases/stats","GET","cases.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","859"
"/categories","POST","categories.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","972"
"/categories/{id}","DELETE","categories.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","818"
"/categories/list","GET","categories.list","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","838"
"/categories/paginate","GET","categories.paginate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","814"
"/categories/stats","GET","categories.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","815"
"/checklists","POST","checklists.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","274"
"/checklists/{id}","DELETE","checklists.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","276"
"/check-timesheet-updates/{date}/{month?}","GET","","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","744"
"/check-user-locations-updates/{date}","GET","","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","742"
"/compensations","POST","compensations.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1026"
"/competencies","POST","competencies.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","291"
"/competencies/{id}","DELETE","competencies.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","293"
"/create","GET","create","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","122"
"/dashboard","GET","dashboard","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","86"
"/dashboard/stats","GET","dashboard.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","87"
"/delete-leave-type/{id}","DELETE","delete-leave-type","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","694"
"/designations","POST","designations.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","799"
"/designations/{id}","DELETE","designations.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","802"
"/designations/json","GET","designations.json","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","796"
"/designations/list","GET","designations.list","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","804"
"/designations/stats","GET","designations.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","798"
"/document-categories","POST","documents.categories.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","426"
"/document-categories/{id}","DELETE","documents.categories.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","428"
"/documents","POST","documents.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","530"
"/documents/{document}","DELETE","documents.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","534"
"/documents/{document}/download","GET","documents.download","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","532"
"/documents/{document}/verify","POST","","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","535"
"/documents/{id}","DELETE","documents.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","422"
"/documents/create","GET","documents.create","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","418"
"/documents/expiring","GET","documents.expiring","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","542"
"/education/delete","DELETE","education.delete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","630"
"/education/update","POST","education.update","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","629"
"/emergency-contacts","POST","emergency-contacts.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","525"
"/emergency-contacts/{contact}","DELETE","emergency-contacts.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","526"
"/employee/{employeeId}","GET","employee.salary","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","553"
